"ServerName","ID","Domain","ServerName","","Priority","FindingsGroup","Finding","DatabaseName","URL","Details","CheckID"
"MSI","24026","","MSI","2026-03-15 20:13:50 +13:00","100","Performance","Indexes Disabled","SQLDBA.ORG","https://www.brentozar.com/go/ixoff","The index [SQLDBA.ORG].[dbo].[002_Databases_Archive].[IX_2022_05_06_3] is disabled.  This index is not actually helping performance and should either be enabled or removed.","47"
"MSI","24027","","MSI","2026-03-15 20:13:50 +13:00","100","Performance","Indexes Disabled","SQLDBA.ORG","https://www.brentozar.com/go/ixoff","The index [SQLDBA.ORG].[dbo].[002_Databases_Archive].[IX_2022_05_06_4] is disabled.  This index is not actually helping performance and should either be enabled or removed.","47"
"MSI","24028","","MSI","2026-03-15 20:13:50 +13:00","100","Performance","Indexes Disabled","SQLDBA.ORG","https://www.brentozar.com/go/ixoff","The index [SQLDBA.ORG].[dbo].[002_Databases_Archive].[IX_2022_05_06_7] is disabled.  This index is not actually helping performance and should either be enabled or removed.","47"
"MSI","24029","","MSI","2026-03-15 20:13:50 +13:00","100","Performance","Indexes Disabled","SQLDBA.ORG","https://www.brentozar.com/go/ixoff","The index [SQLDBA.ORG].[dbo].[002_Databases_Archive].[IX_2022_05_06_8] is disabled.  This index is not actually helping performance and should either be enabled or removed.","47"
"MSI","24030","","MSI","2026-03-15 20:13:50 +13:00","100","Performance","Indexes Disabled","SQLDBA.ORG","https://www.brentozar.com/go/ixoff","The index [SQLDBA.ORG].[dbo].[003_Checks_ConsultantTasks].[IX_01] is disabled.  This index is not actually helping performance and should either be enabled or removed.","47"
"MSI","24031","","MSI","2026-03-15 20:13:50 +13:00","100","Performance","Indexes Disabled","SQLDBA.ORG","https://www.brentozar.com/go/ixoff","The index [SQLDBA.ORG].[dbo].[003_Checks_Cube_ServerLevel].[nci_wi_003_Checks_Cube_ServerLevel_121C83685D4E1EC958A0CA64CB61E90A] is disabled.  This index is not actually helping performance and should either be enabled or removed.","47"
"MSI","24032","","MSI","2026-03-15 20:13:50 +13:00","100","Performance","Indexes Disabled","SQLDBA.ORG","https://www.brentozar.com/go/ixoff","The index [SQLDBA.ORG].[dbo].[003_Checks_Cube_ServerLevel].[nci_wi_003_Checks_Cube_ServerLevel_7FF601E14EFA536B9B603009C0245A30] is disabled.  This index is not actually helping performance and should either be enabled or removed.","47"
"MSI","24033","","MSI","2026-03-15 20:13:50 +13:00","100","Performance","Indexes Disabled","SQLDBA.ORG","https://www.brentozar.com/go/ixoff","The index [SQLDBA.ORG].[dbo].[sqldba_live_archived].[IX_2022_02_12_001] is disabled.  This index is not actually helping performance and should either be enabled or removed.","47"
"MSI","24034","","MSI","2026-03-15 20:13:50 +13:00","100","Performance","Stored Procedure WITH RECOMPILE","PerformanceMonitor","https://www.brentozar.com/go/recompile","[PerformanceMonitor].[collect].[blocked_process_xml_collector] has WITH RECOMPILE in the stored procedure code, which may cause increased CPU usage due to constant recompiles of the code.","78"
"MSI","24035","","MSI","2026-03-15 20:13:50 +13:00","100","Performance","Stored Procedure WITH RECOMPILE","PerformanceMonitor","https://www.brentozar.com/go/recompile","[PerformanceMonitor].[collect].[blocking_deadlock_analyzer] has WITH RECOMPILE in the stored procedure code, which may cause increased CPU usage due to constant recompiles of the code.","78"
"MSI","24036","","MSI","2026-03-15 20:13:50 +13:00","100","Performance","Stored Procedure WITH RECOMPILE","PerformanceMonitor","https://www.brentozar.com/go/recompile","[PerformanceMonitor].[collect].[calculate_deltas] has WITH RECOMPILE in the stored procedure code, which may cause increased CPU usage due to constant recompiles of the code.","78"
"MSI","24037","","MSI","2026-03-15 20:13:50 +13:00","100","Performance","Stored Procedure WITH RECOMPILE","PerformanceMonitor","https://www.brentozar.com/go/recompile","[PerformanceMonitor].[collect].[configuration_issues_analyzer] has WITH RECOMPILE in the stored procedure code, which may cause increased CPU usage due to constant recompiles of the code.","78"
"MSI","24038","","MSI","2026-03-15 20:13:50 +13:00","100","Performance","Stored Procedure WITH RECOMPILE","PerformanceMonitor","https://www.brentozar.com/go/recompile","[PerformanceMonitor].[collect].[cpu_scheduler_stats_collector] has WITH RECOMPILE in the stored procedure code, which may cause increased CPU usage due to constant recompiles of the code.","78"
"MSI","24039","","MSI","2026-03-15 20:13:50 +13:00","100","Performance","Stored Procedure WITH RECOMPILE","PerformanceMonitor","https://www.brentozar.com/go/recompile","[PerformanceMonitor].[collect].[cpu_utilization_stats_collector] has WITH RECOMPILE in the stored procedure code, which may cause increased CPU usage due to constant recompiles of the code.","78"
"MSI","24040","","MSI","2026-03-15 20:13:50 +13:00","100","Performance","Stored Procedure WITH RECOMPILE","PerformanceMonitor","https://www.brentozar.com/go/recompile","[PerformanceMonitor].[collect].[database_configuration_collector] has WITH RECOMPILE in the stored procedure code, which may cause increased CPU usage due to constant recompiles of the code.","78"
"MSI","24041","","MSI","2026-03-15 20:13:50 +13:00","100","Performance","Stored Procedure WITH RECOMPILE","PerformanceMonitor","https://www.brentozar.com/go/recompile","[PerformanceMonitor].[collect].[deadlock_xml_collector] has WITH RECOMPILE in the stored procedure code, which may cause increased CPU usage due to constant recompiles of the code.","78"
"MSI","24042","","MSI","2026-03-15 20:13:50 +13:00","100","Performance","Stored Procedure WITH RECOMPILE","PerformanceMonitor","https://www.brentozar.com/go/recompile","[PerformanceMonitor].[collect].[default_trace_collector] has WITH RECOMPILE in the stored procedure code, which may cause increased CPU usage due to constant recompiles of the code.","78"
"MSI","24043","","MSI","2026-03-15 20:13:50 +13:00","100","Performance","Stored Procedure WITH RECOMPILE","PerformanceMonitor","https://www.brentozar.com/go/recompile","[PerformanceMonitor].[collect].[file_io_stats_collector] has WITH RECOMPILE in the stored procedure code, which may cause increased CPU usage due to constant recompiles of the code.","78"
"MSI","24044","","MSI","2026-03-15 20:13:50 +13:00","100","Performance","Stored Procedure WITH RECOMPILE","PerformanceMonitor","https://www.brentozar.com/go/recompile","[PerformanceMonitor].[collect].[latch_stats_collector] has WITH RECOMPILE in the stored procedure code, which may cause increased CPU usage due to constant recompiles of the code.","78"
"MSI","24045","","MSI","2026-03-15 20:13:50 +13:00","100","Performance","Stored Procedure WITH RECOMPILE","PerformanceMonitor","https://www.brentozar.com/go/recompile","[PerformanceMonitor].[collect].[memory_clerks_stats_collector] has WITH RECOMPILE in the stored procedure code, which may cause increased CPU usage due to constant recompiles of the code.","78"
"MSI","24046","","MSI","2026-03-15 20:13:50 +13:00","100","Performance","Stored Procedure WITH RECOMPILE","PerformanceMonitor","https://www.brentozar.com/go/recompile","[PerformanceMonitor].[collect].[memory_grant_stats_collector] has WITH RECOMPILE in the stored procedure code, which may cause increased CPU usage due to constant recompiles of the code.","78"
"MSI","24047","","MSI","2026-03-15 20:13:50 +13:00","100","Performance","Stored Procedure WITH RECOMPILE","PerformanceMonitor","https://www.brentozar.com/go/recompile","[PerformanceMonitor].[collect].[memory_pressure_events_collector] has WITH RECOMPILE in the stored procedure code, which may cause increased CPU usage due to constant recompiles of the code.","78"
"MSI","24048","","MSI","2026-03-15 20:13:50 +13:00","100","Performance","Stored Procedure WITH RECOMPILE","PerformanceMonitor","https://www.brentozar.com/go/recompile","[PerformanceMonitor].[collect].[memory_stats_collector] has WITH RECOMPILE in the stored procedure code, which may cause increased CPU usage due to constant recompiles of the code.","78"
"MSI","24049","","MSI","2026-03-15 20:13:50 +13:00","100","Performance","Stored Procedure WITH RECOMPILE","PerformanceMonitor","https://www.brentozar.com/go/recompile","[PerformanceMonitor].[collect].[perfmon_stats_collector] has WITH RECOMPILE in the stored procedure code, which may cause increased CPU usage due to constant recompiles of the code.","78"
"MSI","24050","","MSI","2026-03-15 20:13:50 +13:00","100","Performance","Stored Procedure WITH RECOMPILE","PerformanceMonitor","https://www.brentozar.com/go/recompile","[PerformanceMonitor].[collect].[plan_cache_stats_collector] has WITH RECOMPILE in the stored procedure code, which may cause increased CPU usage due to constant recompiles of the code.","78"
"MSI","24051","","MSI","2026-03-15 20:13:50 +13:00","100","Performance","Stored Procedure WITH RECOMPILE","PerformanceMonitor","https://www.brentozar.com/go/recompile","[PerformanceMonitor].[collect].[procedure_stats_collector] has WITH RECOMPILE in the stored procedure code, which may cause increased CPU usage due to constant recompiles of the code.","78"
"MSI","24052","","MSI","2026-03-15 20:13:50 +13:00","100","Performance","Stored Procedure WITH RECOMPILE","PerformanceMonitor","https://www.brentozar.com/go/recompile","[PerformanceMonitor].[collect].[process_blocked_process_xml] has WITH RECOMPILE in the stored procedure code, which may cause increased CPU usage due to constant recompiles of the code.","78"
"MSI","24053","","MSI","2026-03-15 20:13:50 +13:00","100","Performance","Stored Procedure WITH RECOMPILE","PerformanceMonitor","https://www.brentozar.com/go/recompile","[PerformanceMonitor].[collect].[process_deadlock_xml] has WITH RECOMPILE in the stored procedure code, which may cause increased CPU usage due to constant recompiles of the code.","78"
"MSI","24054","","MSI","2026-03-15 20:13:50 +13:00","100","Performance","Stored Procedure WITH RECOMPILE","PerformanceMonitor","https://www.brentozar.com/go/recompile","[PerformanceMonitor].[collect].[query_snapshots_collector] has WITH RECOMPILE in the stored procedure code, which may cause increased CPU usage due to constant recompiles of the code.","78"
"MSI","24055","","MSI","2026-03-15 20:13:50 +13:00","100","Performance","Stored Procedure WITH RECOMPILE","PerformanceMonitor","https://www.brentozar.com/go/recompile","[PerformanceMonitor].[collect].[query_snapshots_create_views] has WITH RECOMPILE in the stored procedure code, which may cause increased CPU usage due to constant recompiles of the code.","78"
"MSI","24056","","MSI","2026-03-15 20:13:50 +13:00","100","Performance","Stored Procedure WITH RECOMPILE","PerformanceMonitor","https://www.brentozar.com/go/recompile","[PerformanceMonitor].[collect].[query_snapshots_retention] has WITH RECOMPILE in the stored procedure code, which may cause increased CPU usage due to constant recompiles of the code.","78"
"MSI","24057","","MSI","2026-03-15 20:13:50 +13:00","100","Performance","Stored Procedure WITH RECOMPILE","PerformanceMonitor","https://www.brentozar.com/go/recompile","[PerformanceMonitor].[collect].[query_stats_collector] has WITH RECOMPILE in the stored procedure code, which may cause increased CPU usage due to constant recompiles of the code.","78"
"MSI","24058","","MSI","2026-03-15 20:13:50 +13:00","100","Performance","Stored Procedure WITH RECOMPILE","PerformanceMonitor","https://www.brentozar.com/go/recompile","[PerformanceMonitor].[collect].[query_store_collector] has WITH RECOMPILE in the stored procedure code, which may cause increased CPU usage due to constant recompiles of the code.","78"
"MSI","24059","","MSI","2026-03-15 20:13:50 +13:00","100","Performance","Stored Procedure WITH RECOMPILE","PerformanceMonitor","https://www.brentozar.com/go/recompile","[PerformanceMonitor].[collect].[running_jobs_collector] has WITH RECOMPILE in the stored procedure code, which may cause increased CPU usage due to constant recompiles of the code.","78"
"MSI","24060","","MSI","2026-03-15 20:13:50 +13:00","100","Performance","Stored Procedure WITH RECOMPILE","PerformanceMonitor","https://www.brentozar.com/go/recompile","[PerformanceMonitor].[collect].[scheduled_master_collector] has WITH RECOMPILE in the stored procedure code, which may cause increased CPU usage due to constant recompiles of the code.","78"
"MSI","24061","","MSI","2026-03-15 20:13:50 +13:00","100","Performance","Stored Procedure WITH RECOMPILE","PerformanceMonitor","https://www.brentozar.com/go/recompile","[PerformanceMonitor].[collect].[server_configuration_collector] has WITH RECOMPILE in the stored procedure code, which may cause increased CPU usage due to constant recompiles of the code.","78"
"MSI","24062","","MSI","2026-03-15 20:13:50 +13:00","100","Performance","Stored Procedure WITH RECOMPILE","PerformanceMonitor","https://www.brentozar.com/go/recompile","[PerformanceMonitor].[collect].[session_stats_collector] has WITH RECOMPILE in the stored procedure code, which may cause increased CPU usage due to constant recompiles of the code.","78"
"MSI","24063","","MSI","2026-03-15 20:13:50 +13:00","100","Performance","Stored Procedure WITH RECOMPILE","PerformanceMonitor","https://www.brentozar.com/go/recompile","[PerformanceMonitor].[collect].[spinlock_stats_collector] has WITH RECOMPILE in the stored procedure code, which may cause increased CPU usage due to constant recompiles of the code.","78"
"MSI","24064","","MSI","2026-03-15 20:13:50 +13:00","100","Performance","Stored Procedure WITH RECOMPILE","PerformanceMonitor","https://www.brentozar.com/go/recompile","[PerformanceMonitor].[collect].[system_health_collector] has WITH RECOMPILE in the stored procedure code, which may cause increased CPU usage due to constant recompiles of the code.","78"
"MSI","24065","","MSI","2026-03-15 20:13:50 +13:00","100","Performance","Stored Procedure WITH RECOMPILE","PerformanceMonitor","https://www.brentozar.com/go/recompile","[PerformanceMonitor].[collect].[tempdb_stats_collector] has WITH RECOMPILE in the stored procedure code, which may cause increased CPU usage due to constant recompiles of the code.","78"
"MSI","24066","","MSI","2026-03-15 20:13:50 +13:00","100","Performance","Stored Procedure WITH RECOMPILE","PerformanceMonitor","https://www.brentozar.com/go/recompile","[PerformanceMonitor].[collect].[trace_analysis_collector] has WITH RECOMPILE in the stored procedure code, which may cause increased CPU usage due to constant recompiles of the code.","78"
"MSI","24067","","MSI","2026-03-15 20:13:50 +13:00","100","Performance","Stored Procedure WITH RECOMPILE","PerformanceMonitor","https://www.brentozar.com/go/recompile","[PerformanceMonitor].[collect].[trace_management_collector] has WITH RECOMPILE in the stored procedure code, which may cause increased CPU usage due to constant recompiles of the code.","78"
"MSI","24068","","MSI","2026-03-15 20:13:50 +13:00","100","Performance","Stored Procedure WITH RECOMPILE","PerformanceMonitor","https://www.brentozar.com/go/recompile","[PerformanceMonitor].[collect].[wait_stats_collector] has WITH RECOMPILE in the stored procedure code, which may cause increased CPU usage due to constant recompiles of the code.","78"
"MSI","24069","","MSI","2026-03-15 20:13:50 +13:00","100","Performance","Stored Procedure WITH RECOMPILE","PerformanceMonitor","https://www.brentozar.com/go/recompile","[PerformanceMonitor].[collect].[waiting_tasks_collector] has WITH RECOMPILE in the stored procedure code, which may cause increased CPU usage due to constant recompiles of the code.","78"
"MSI","24070","","MSI","2026-03-15 20:13:50 +13:00","100","Performance","Stored Procedure WITH RECOMPILE","PerformanceMonitor","https://www.brentozar.com/go/recompile","[PerformanceMonitor].[config].[check_hung_collector_job] has WITH RECOMPILE in the stored procedure code, which may cause increased CPU usage due to constant recompiles of the code.","78"
"MSI","24071","","MSI","2026-03-15 20:13:50 +13:00","100","Performance","Stored Procedure WITH RECOMPILE","PerformanceMonitor","https://www.brentozar.com/go/recompile","[PerformanceMonitor].[config].[data_retention] has WITH RECOMPILE in the stored procedure code, which may cause increased CPU usage due to constant recompiles of the code.","78"
"MSI","24072","","MSI","2026-03-15 20:13:50 +13:00","100","Performance","Stored Procedure WITH RECOMPILE","PerformanceMonitor","https://www.brentozar.com/go/recompile","[PerformanceMonitor].[config].[enable_baseline_monitoring] has WITH RECOMPILE in the stored procedure code, which may cause increased CPU usage due to constant recompiles of the code.","78"
"MSI","24073","","MSI","2026-03-15 20:13:50 +13:00","100","Performance","Stored Procedure WITH RECOMPILE","PerformanceMonitor","https://www.brentozar.com/go/recompile","[PerformanceMonitor].[config].[enable_consulting_analysis] has WITH RECOMPILE in the stored procedure code, which may cause increased CPU usage due to constant recompiles of the code.","78"
"MSI","24074","","MSI","2026-03-15 20:13:50 +13:00","100","Performance","Stored Procedure WITH RECOMPILE","PerformanceMonitor","https://www.brentozar.com/go/recompile","[PerformanceMonitor].[config].[enable_realtime_monitoring] has WITH RECOMPILE in the stored procedure code, which may cause increased CPU usage due to constant recompiles of the code.","78"
"MSI","24075","","MSI","2026-03-15 20:13:50 +13:00","100","Performance","Stored Procedure WITH RECOMPILE","PerformanceMonitor","https://www.brentozar.com/go/recompile","[PerformanceMonitor].[config].[ensure_collection_table] has WITH RECOMPILE in the stored procedure code, which may cause increased CPU usage due to constant recompiles of the code.","78"
"MSI","24076","","MSI","2026-03-15 20:13:50 +13:00","100","Performance","Stored Procedure WITH RECOMPILE","PerformanceMonitor","https://www.brentozar.com/go/recompile","[PerformanceMonitor].[config].[ensure_config_tables] has WITH RECOMPILE in the stored procedure code, which may cause increased CPU usage due to constant recompiles of the code.","78"
"MSI","24077","","MSI","2026-03-15 20:13:50 +13:00","100","Performance","Stored Procedure WITH RECOMPILE","PerformanceMonitor","https://www.brentozar.com/go/recompile","[PerformanceMonitor].[config].[set_collector_enabled] has WITH RECOMPILE in the stored procedure code, which may cause increased CPU usage due to constant recompiles of the code.","78"
"MSI","24078","","MSI","2026-03-15 20:13:50 +13:00","100","Performance","Stored Procedure WITH RECOMPILE","PerformanceMonitor","https://www.brentozar.com/go/recompile","[PerformanceMonitor].[config].[show_collection_schedule] has WITH RECOMPILE in the stored procedure code, which may cause increased CPU usage due to constant recompiles of the code.","78"
"MSI","24079","","MSI","2026-03-15 20:13:50 +13:00","100","Performance","Stored Procedure WITH RECOMPILE","PerformanceMonitor","https://www.brentozar.com/go/recompile","[PerformanceMonitor].[config].[update_collector_frequency] has WITH RECOMPILE in the stored procedure code, which may cause increased CPU usage due to constant recompiles of the code.","78"
"MSI","24080","","MSI","2026-03-15 20:13:50 +13:00","100","Performance","Stored Procedure WITH RECOMPILE","PerformanceMonitor","https://www.brentozar.com/go/recompile","[PerformanceMonitor].[dbo].[sp_HealthParser] has WITH RECOMPILE in the stored procedure code, which may cause increased CPU usage due to constant recompiles of the code.","78"
"MSI","24081","","MSI","2026-03-15 20:13:50 +13:00","100","Performance","Stored Procedure WITH RECOMPILE","PerformanceMonitor","https://www.brentozar.com/go/recompile","[PerformanceMonitor].[dbo].[sp_HumanEventsBlockViewer] has WITH RECOMPILE in the stored procedure code, which may cause increased CPU usage due to constant recompiles of the code.","78"
"MSI","24082","","MSI","2026-03-15 20:13:50 +13:00","100","Performance","Stored Procedure WITH RECOMPILE","PerformanceMonitor","https://www.brentozar.com/go/recompile","[PerformanceMonitor].[dbo].[sp_IndexCleanup] has WITH RECOMPILE in the stored procedure code, which may cause increased CPU usage due to constant recompiles of the code.","78"
"MSI","24083","","MSI","2026-03-15 20:13:50 +13:00","100","Performance","Stored Procedure WITH RECOMPILE","PerformanceMonitor","https://www.brentozar.com/go/recompile","[PerformanceMonitor].[dbo].[sp_LogHunter] has WITH RECOMPILE in the stored procedure code, which may cause increased CPU usage due to constant recompiles of the code.","78"
"MSI","24084","","MSI","2026-03-15 20:13:50 +13:00","100","Performance","Stored Procedure WITH RECOMPILE","PerformanceMonitor","https://www.brentozar.com/go/recompile","[PerformanceMonitor].[dbo].[sp_PerfCheck] has WITH RECOMPILE in the stored procedure code, which may cause increased CPU usage due to constant recompiles of the code.","78"
"MSI","24085","","MSI","2026-03-15 20:13:50 +13:00","100","Performance","Stored Procedure WITH RECOMPILE","PerformanceMonitor","https://www.brentozar.com/go/recompile","[PerformanceMonitor].[dbo].[sp_QueryReproBuilder] has WITH RECOMPILE in the stored procedure code, which may cause increased CPU usage due to constant recompiles of the code.","78"
"MSI","24086","","MSI","2026-03-15 20:13:50 +13:00","100","Performance","Stored Procedure WITH RECOMPILE","PerformanceMonitor","https://www.brentozar.com/go/recompile","[PerformanceMonitor].[dbo].[sp_QuickieStore] has WITH RECOMPILE in the stored procedure code, which may cause increased CPU usage due to constant recompiles of the code.","78"
"MSI","24087","","MSI","2026-03-15 20:13:50 +13:00","100","Performance","Stored Procedure WITH RECOMPILE","SQLDBA.ORG","https://www.brentozar.com/go/recompile","[SQLDBA.ORG].[dbo].[sp_triage®] has WITH RECOMPILE in the stored procedure code, which may cause increased CPU usage due to constant recompiles of the code.","78"
"MSI","24088","","MSI","2026-03-15 20:13:50 +13:00","120","Query Plans","Cursor","","https://www.brentozar.com/go/cursor","One of the top resource-intensive queries is using a cursor.","66"
"MSI","24089","","MSI","2026-03-15 20:13:50 +13:00","120","Query Plans","Implicit Conversion","","https://www.brentozar.com/go/implicit","One of the top resource-intensive queries is comparing two fields that are not the same datatype.","63"
"MSI","24090","","MSI","2026-03-15 20:13:50 +13:00","120","Query Plans","Implicit Conversion Affecting Cardinality","","https://www.brentozar.com/go/implicit","One of the top resource-intensive queries has an implicit conversion that is affecting cardinality estimation.","64"
"MSI","24091","","MSI","2026-03-15 20:13:50 +13:00","120","Query Plans","Implicit Conversion Affecting Cardinality","","https://www.brentozar.com/go/implicit","One of the top resource-intensive queries has an implicit conversion that is affecting cardinality estimation.","64"
"MSI","24092","","MSI","2026-03-15 20:13:50 +13:00","120","Query Plans","Implicit Conversion Affecting Cardinality","","https://www.brentozar.com/go/implicit","One of the top resource-intensive queries has an implicit conversion that is affecting cardinality estimation.","64"
"MSI","24093","","MSI","2026-03-15 20:13:50 +13:00","120","Query Plans","Implicit Conversion Affecting Cardinality","","https://www.brentozar.com/go/implicit","One of the top resource-intensive queries has an implicit conversion that is affecting cardinality estimation.","64"
"MSI","24094","","MSI","2026-03-15 20:13:50 +13:00","120","Query Plans","Missing Index","","https://www.brentozar.com/go/missingindex","One of the top resource-intensive queries may be dramatically improved by adding an index.","65"
"MSI","24095","","MSI","2026-03-15 20:13:50 +13:00","120","Query Plans","RID or Key Lookups","","https://www.brentozar.com/go/lookup","One of the top resource-intensive queries contains RID or Key Lookups. Try to avoid them by creating covering indexes.","118"
"MSI","24096","","MSI","2026-03-15 20:13:50 +13:00","120","Query Plans","RID or Key Lookups","","https://www.brentozar.com/go/lookup","One of the top resource-intensive queries contains RID or Key Lookups. Try to avoid them by creating covering indexes.","118"
"MSI","24097","","MSI","2026-03-15 20:13:50 +13:00","120","Query Plans","RID or Key Lookups","","https://www.brentozar.com/go/lookup","One of the top resource-intensive queries contains RID or Key Lookups. Try to avoid them by creating covering indexes.","118"
"MSI","24098","","MSI","2026-03-15 20:13:50 +13:00","150","Performance","Foreign Keys Not Trusted","PBIReportServer","https://www.brentozar.com/go/trust","The [PBIReportServer] database has foreign keys that were probably disabled, data was changed, and then the key was enabled again.  Simply enabling the key is not enough for the optimizer to use this key - we have to alter the table using the WITH CHECK CHECK CONSTRAINT parameter.","48"
